model,budget_bp,budget_frac,sensitivity_at_k,sensitivity_at_k_ci_low,sensitivity_at_k_ci_high,ppv_at_k,ppv_at_k_ci_low,ppv_at_k_ci_high,missed_cases,n_ecg,denominator_unit,event_prevalence,tp_per_1000,fp_per_1000,fn_per_1000,tn_per_1000,alerts_per_1000,misses_per_1000,false_alarms_per_1000,number_needed_to_review,n_folds,endpoint,stage,budget_frac_requested,budget_bp_requested
rla_selected,100,0.01,0.0578354978354978,0.0369047619047618,0.0917748917748917,0.0378378378378378,0.027027027027027,0.054054054054054,23.2,18503,ECG,0.0066474656228776,0.3783199573526512,9.62005885918342,6.269145665525022,983.7324755179388,9.998378816536071,6.269145665525022,9.62005885918342,29.6,5,mi,calibrated,0.01,100
rla_selected,500,0.05,0.2879220779220779,0.1663636363636363,0.3333333333333333,0.0367567567567567,0.0275675675675675,0.0475675675675675,17.8,18503,ECG,0.0066474656228776,1.8375457327092024,48.15434834997116,4.809919890168471,945.1981860271512,49.99189408268036,4.809919890168471,48.15434834997116,28.24920634920635,5,mi,calibrated,0.05,500
rla_selected,1000,0.1,0.3788744588744588,0.1713636363636363,0.5190476190476191,0.0237837837837837,0.014054054054054,0.0297297297297297,15.8,18503,ECG,0.0066474656228776,2.378042457480447,97.60574570788026,4.269423165397226,895.746788669242,99.98378816536072,4.269423165397226,97.60574570788026,46.225974025974025,5,mi,calibrated,0.1,1000
rla_selected,2000,0.2,0.5522510822510822,0.3844155844155844,0.6178571428571429,0.0178378378378378,0.0162162162162162,0.0224324324324323,11.4,18503,ECG,0.0066474656228776,3.566968752053864,196.4006075786676,3.080496870823809,796.9519267984548,199.96757633072144,3.080496870823809,196.4006075786676,57.09049773755656,5,mi,calibrated,0.2,2000
real_only,100,0.01,0.0578354978354978,0.0369047619047618,0.0917748917748917,0.0378378378378378,0.027027027027027,0.054054054054054,23.2,18503,ECG,0.0066474656228776,0.3783199573526512,9.62005885918342,6.269145665525022,983.7324755179388,9.998378816536071,6.269145665525022,9.62005885918342,29.6,5,mi,raw,0.01,100
real_only,500,0.05,0.2579220779220779,0.1501515151515151,0.3333333333333333,0.0335135135135134,0.0172972972972972,0.0475675675675675,18.4,18503,ECG,0.0066474656228776,1.6754273863163356,48.31646669636402,4.972038236561339,945.0360676807584,49.99189408268036,4.972038236561339,48.31646669636402,34.41587301587301,5,mi,raw,0.05,500
real_only,1000,0.1,0.3798268398268398,0.1744588744588744,0.5164285714285715,0.0237837837837837,0.0143243243243243,0.0297297297297297,15.8,18503,ECG,0.0066474656228776,2.378013246967584,97.60577491839312,4.26945237591009,895.7467594587291,99.98378816536072,4.26945237591009,97.60577491839312,45.72676767676768,5,mi,raw,0.1,1000
real_only,2000,0.2,0.5232034632034631,0.3796536796536796,0.6035714285714285,0.0170270270270269,0.0148648648648648,0.0222972972972972,12.0,18503,ECG,0.0066474656228776,3.4048211951481333,196.5627551355733,3.24264442772954,796.789779241549,199.96757633072144,3.24264442772954,196.5627551355733,60.281639928698745,5,mi,raw,0.2,2000
rla_selected,100,0.01,0.0578354978354978,0.0369047619047618,0.0917748917748917,0.0378378378378378,0.027027027027027,0.054054054054054,23.2,18503,ECG,0.0066474656228776,0.3783199573526512,9.62005885918342,6.269145665525022,983.7324755179388,9.998378816536071,6.269145665525022,9.62005885918342,29.6,5,mi,raw,0.01,100
rla_selected,500,0.05,0.2879220779220779,0.1663636363636363,0.3333333333333333,0.0367567567567567,0.0275675675675675,0.0475675675675675,17.8,18503,ECG,0.0066474656228776,1.8375457327092024,48.15434834997116,4.809919890168471,945.1981860271512,49.99189408268036,4.809919890168471,48.15434834997116,28.24920634920635,5,mi,raw,0.05,500
